task_index,slug,prompt,event,close_chunk,burst_chunk,release_chunk,close_gripper_mean,burst_gripper_mean,release_gripper_mean,close_l17_p99,burst_l17_p99,release_l17_p99,close_l17_top,burst_l17_top,release_l17_top
14,task_14_put_two_2_mugs_on_the_wire_shelf,Put two (2) mugs on the wire shelf,5,105,105,107,0.8538921339478612,0.8538921339478612,0.024384780992478136,1784.0,1784.0,1154.7200000000012,62464.0,62464.0,46080.0
14,task_14_put_two_2_mugs_on_the_wire_shelf,Put two (2) mugs on the wire shelf,6,115,116,124,0.8832459578806758,0.9726289592449309,0.0044642205531656735,1592.0,5088.0,1256.0,63488.0,208896.0,70656.0
14,task_14_put_two_2_mugs_on_the_wire_shelf,Put two (2) mugs on the wire shelf,7,138,140,140,0.6963451449122965,0.019624304848515992,0.019624304848515992,984.6800000000003,1657.3600000000006,1657.3600000000006,43008.0,72704.0,72704.0
14,task_14_put_two_2_mugs_on_the_wire_shelf,Put two (2) mugs on the wire shelf,8,146,172,172,0.9725558230082273,0.0049824453573346136,0.0049824453573346136,1977.3600000000006,2160.0,2160.0,97280.0,114688.0,114688.0
15,task_15_put_the_two_measuring_cups_outside_of_the_plate,Put the two measuring cups outside of the plate,1,7,7,9,0.9468290264374138,0.9468290264374138,0.01117467189295292,3696.0,3696.0,1377.3600000000006,166912.0,166912.0,72192.0
15,task_15_put_the_two_measuring_cups_outside_of_the_plate,Put the two measuring cups outside of the plate,2,13,14,21,0.9802356125500559,0.9773830927303078,0.009412020652627945,1593.3600000000006,4613.440000000002,3506.720000000001,76800.0,192512.0,180224.0
15,task_15_put_the_two_measuring_cups_outside_of_the_plate,Put the two measuring cups outside of the plate,3,36,40,53,0.7097674460358562,0.4724910415956617,0.06129223654455543,1489.3600000000006,1817.3600000000006,1409.3600000000006,62720.0,88064.0,68608.0
15,task_15_put_the_two_measuring_cups_outside_of_the_plate,Put the two measuring cups outside of the plate,4,56,73,74,0.7094820144809604,0.8832645826119305,0.9056787196448565,1233.3600000000006,3957.4400000000023,2400.0,76800.0,162816.0,135168.0
16,task_16_clean_up_the_white_mugs,Clean up the white mugs,1,9,12,12,0.9143441976620793,0.013073937602913381,0.013073937602913381,1369.3600000000006,2928.0,2928.0,64512.0,173056.0,173056.0
16,task_16_clean_up_the_white_mugs,Clean up the white mugs,2,22,24,26,0.9653876375123264,0.9731248466874362,0.010083597552877663,1064.0,6144.0,4128.0,37120.0,262144.0,253952.0
16,task_16_clean_up_the_white_mugs,Clean up the white mugs,3,42,42,44,0.9627364300607801,0.9627364300607801,0.014446289880877731,3200.0,3200.0,2226.720000000001,155648.0,155648.0,94208.0
16,task_16_clean_up_the_white_mugs,Clean up the white mugs,4,55,59,59,0.7490332959251406,0.004798877733618021,0.004798877733618021,1664.0,4608.0,4608.0,53760.0,250880.0,250880.0
17,task_17_put_the_whiteboard_marker_in_the_mug,Put the whiteboard marker in the mug,1,6,6,10,0.8214015564553502,0.8214015564553502,0.09943811356664302,1416.0,1416.0,1121.3600000000006,64256.0,64256.0,61952.0
18,task_18_put_the_metal_spoon_that_s_in_the_wooden_bowl_in_the_mug,Put the metal spoon that's in the wooden bowl in the mug,1,12,14,18,0.9559887749462843,0.9619066919268252,0.005876474172502757,920.0,4082.720000000001,2226.720000000001,46336.0,187392.0,139264.0
19,task_19_take_the_white_colored_measuring_spoon_out_of_the_red_bowl_and_put_it,Take the white colored measuring spoon out of the red bowl and put it on the table.,1,7,19,19,0.9322567435073374,0.013270673245346547,0.013270673245346547,1640.0,2722.720000000001,2722.720000000001,72704.0,143360.0,143360.0
19,task_19_take_the_white_colored_measuring_spoon_out_of_the_red_bowl_and_put_it,Take the white colored measuring spoon out of the red bowl and put it on the table.,2,22,23,23,0.8073090431062818,0.00813112740585208,0.00813112740585208,1176.0,1761.3600000000006,1761.3600000000006,24960.0,72704.0,72704.0
19,task_19_take_the_white_colored_measuring_spoon_out_of_the_red_bowl_and_put_it,Take the white colored measuring spoon out of the red bowl and put it on the table.,3,29,29,31,0.8825975049668312,0.8825975049668312,0.009190780457639694,1401.3600000000006,1401.3600000000006,1289.3600000000006,52992.0,52992.0,50688.0
19,task_19_take_the_white_colored_measuring_spoon_out_of_the_red_bowl_and_put_it,Take the white colored measuring spoon out of the red bowl and put it on the table.,4,34,39,39,0.6158722479549051,0.9677355296146632,0.9677355296146632,896.0,2768.0,2768.0,30592.0,173056.0,173056.0
20,task_20_stack_the_yellow_block_on_the_red_block,Stack the yellow block on the red block,1,2,2,7,0.6680300033307732,0.6680300033307732,0.01611283186647892,2434.720000000001,2434.720000000001,1344.0,104448.0,104448.0,78336.0
20,task_20_stack_the_yellow_block_on_the_red_block,Stack the yellow block on the red block,2,14,21,28,0.6653426608017683,0.7754708079499485,0.815330207921684,1432.0,4901.440000000002,1080.0,55296.0,292864.0,53504.0
